名称,市值,成交量,天数,24h涨跌,持仓人数,持仓市值,持仓盈亏,人均持仓市值,创建时间,最高持仓人,最高持仓市值,最低持仓人,最低持仓市值,所有持仓人,发射平台,合约地址
AI (Artificial Inu),247.4M,10.3M,10.0,-27.19%,12,29.6M(12.0%),+25.3M,2.5M,2026-09-03 22:04:34,3.DumbCrayonEater,7.3M(2.96%),14.ogle,1(0.000%),"3.DumbCrayonEater 7.3M(2.96%) +7.3M(+34405.94%) [60:18:08] [20260910 07:17]
5.Salem 5.9M(2.38%) +2.8M(+90.91%) [57:13:57] [20260913 16:48]
7.Nate 4.6M(1.86%) +4.6M(+8962.77%) [58:16:32] [20260908 16:22]
8.Burgz 3.3M(1.33%) +3.2M(+2571.55%) [37:23:49] [20260908 02:47]
17.Swizzle 2.7M(1.11%) +2.5M(+908.43%) [34:10:59] [20260912 08:38]
13.Wood 2.5M(1.01%) +2.0M(+395.34%) [38:21:54] [20260913 09:37]
16.LP 1 2.1M(0.834%) +2.0M(+8038.83%) [42:03:24] [20260912 18:35]
18.Cardinal Saint 999K(0.404%) +781K(+357.12%) [53:22:12] [20260911 22:07]
9.AJC 227K(0.092%) +201K(+769.52%) [60:18:13] [20260912 23:05]
19.Ethermonk 📿 27(0.000%) +2(+9.06%) [03:23:00] [20260913 06:06]
11.Theo 16(0.000%) +1(+4.50%) [11:22:54] [20260904 14:06]
14.ogle 1(0.000%) -0(-12.55%) [00:03:07] [20260913 20:00]",Robinhood Chain / Pons,0x2e8c31162b855a2ffa90f6f8634643ad6f111e18
STONK,222.3M,26.4M,32.1,-11.52%,6,21.9M(9.86%),+19.4M,3.7M,2026-08-12 18:51:03,2.point farm capital,9.7M(4.38%),19.Ethermonk 📿,4(0.000%),"2.point farm capital 9.7M(4.38%) +8.7M(+870.53%) [21:16:12] [20260912 07:39]
4.TheS◎Lstice 5.5M(2.45%) +5.3M(+3353.84%) [39:17:05] [20260913 12:12]
6.Vee 4.7M(2.13%) +4.5M(+2452.93%) [32:19:42] [20260913 08:19]
11.Theo 2.0M(0.890%) +777K(+64.58%) [39:18:33] [20260913 18:23]
17.Swizzle 6K(0.003%) -641(-9.53%) [01:02:45] [20260913 08:49]
19.Ethermonk 📿 4(0.000%) +1(+29.22%) [03:17:41] [20260910 03:26]",Solana (raydium),6GmAFSYs4gk3FDao5FzzySQpPZaWsa4rUJHacpMpUNgx
PONS,554.8M,7.9M,57.5,-14.38%,6,15.2M(2.74%),+11.1M,2.5M,2026-07-18 09:42:13,14.ogle,6.1M(1.10%),19.Ethermonk 📿,20(0.000%),"14.ogle 6.1M(1.10%) +2.4M(+63.33%) [61:12:19] [20260913 20:00]
1.Unipcs 6.1M(1.10%) +6.0M(+8878.40%) [60:16:07] [20260912 17:16]
9.AJC 2.3M(0.421%) +2.3M(+8243.16%) [58:13:29] [20260913 19:04]
6.Vee 721K(0.130%) +451K(+166.82%) [46:14:58] [20260912 02:24]
17.Swizzle 124(0.000%) +101(+425.97%) [19:18:59] [20260831 05:32]
19.Ethermonk 📿 20(0.000%) -4(-17.87%) [03:23:00] [20260913 06:06]",Pons Launchpad,0x39dbed3a2bd333467115de45665cc57f813c4571
MarsCoin,105.0M,2.5M,45.2,-14.65%,3,6.5M(6.15%),+4.2M,2.2M,2026-07-30 15:47:04,1.Unipcs,2.6M(2.50%),12.Frogman,1.5M(1.40%),"1.Unipcs 2.6M(2.50%) +1.6M(+165.89%) [46:22:44] [20260912 03:05]
15.Avast 2.4M(2.26%) +1.8M(+291.50%) [47:20:42] [20260912 03:05]
12.Frogman 1.5M(1.40%) +850K(+138.15%) [25:15:50] [20260910 11:18]",BSC (pancakeswap),0xfe189e97832da1573e4e4ff034f4ffc3a15c7777
USELESS (USELESS COIN),215.1M,3.5M,490.9,-10.07%,4,4.0M(1.87%),+2.5M,1.0M,2025-05-10 22:23:17,1.Unipcs,3.4M(1.59%),3.DumbCrayonEater,25(0.000%),"1.Unipcs 3.4M(1.59%) +2.5M(+288.79%) [99:02:08] [20260913 20:27]
17.Swizzle 588K(0.273%) -31K(-5.09%) [05:15:20] [20260910 14:14]
15.Avast 17K(0.008%) -8K(-33.55%) [04:04:58] [20260909 17:25]
3.DumbCrayonEater 25(0.000%) -0(-1.79%) [01:07:26] [20260912 13:41]",LetsBonk,Dz9mQ9NzkBcCsuGPFJ3r1bS4wgqKMHBPiVuniW8Mbonk
CASHCAT (Cash Cat),162.4M,3.2M,73.7,-6.92%,6,3.0M(1.83%),-2.8M,497K,2026-07-02 03:38:42,20.change,1.5M(0.914%),17.Swizzle,15(0.000%),"20.change 1.5M(0.914%) -2.7M(-64.68%) [12:12:01] [20260913 17:30]
15.Avast 893K(0.550%) +589K(+193.54%) [41:13:44] [20260910 00:19]
12.Frogman 601K(0.370%) -633K(-51.29%) [25:15:59] [20260910 11:13]
19.Ethermonk 📿 137(0.000%) -71(-34.24%) [11:11:30] [20260913 06:06]
14.ogle 25(0.000%) -1(-3.75%) [02:21:07] [20260913 20:00]
17.Swizzle 15(0.000%) -2(-11.30%) [19:19:00] [20260825 05:14]",Robinhood Chain / Pons,0x020bfc650a365f8bb26819deaabf3e21291018b4
EMBER (embercurve),41.9M,14.9M,3.3,+93.99%,2,1.2M(2.82%),+764K,590K,2026-09-10 13:53:50,1.Unipcs,1.2M(2.82%),11.Theo,62(0.000%),"1.Unipcs 1.2M(2.82%) +764K(+183.87%) [02:02:10] [20260913 21:00]
11.Theo 62(0.000%) +15(+32.50%) [01:23:03] [20260912 02:14]",Solana (raydium),5dvXTZ5qwgafnHtwu3Ls3QrWx1U4LQsFeCuJgkk4QEC6
ZCAT (Anonymous Cat),93.2M,4.5M,7.5,+10.38%,2,968K(1.04%),+489K,484K,2026-09-06 08:17:57,2.point farm capital,720K(0.773%),17.Swizzle,248K(0.266%),"2.point farm capital 720K(0.773%) +420K(+139.78%) [08:13:03] [20260913 19:55]
17.Swizzle 248K(0.266%) +69K(+38.90%) [01:10:23] [20260912 10:44]",Solana (raydium),HcRLc9VDgjLeK154xDawfb1dmVJ98DoSqcwTHGqiDeJR
POINTFARMC (The Stonkfather),1.1M,187K,6.9,-48.07%,1,822K(74.8%),+676K,822K,2026-09-06 22:25:33,2.point farm capital,822K(74.8%),2.point farm capital,822K(74.8%),2.point farm capital 822K(72.6%) +676K(+460.32%) [06:22:41] [20260912 07:40],Solana (raydium),6V7cF52p3eSkRuoVXnAryWVwoyS775DERenYPMMYBPxS
ZZZ,34.0M,2.1M,8.6,-48.77%,4,782K(2.30%),+607K,195K,2026-09-05 07:54:59,15.Avast,635K(1.87%),19.Ethermonk 📿,3(0.000%),"15.Avast 635K(1.87%) +592K(+1405.09%) [08:12:02] [20260910 00:18]
14.ogle 142K(0.418%) +15K(+11.44%) [08:10:23] [20260913 13:49]
10.frank 5K(0.015%) +41(+0.82%) [00:00:07] [20260913 21:00]
19.Ethermonk 📿 3(0.000%) -2(-34.57%) [00:15:01] [20260913 06:06]",Robinhood Chain / Pons,0x7dbf38976f6d3b9c529e7d9484a71898b409ee6a
